,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
294,enugu,NG,2023-03-28 12:01:32,6.4402,7.4943,41,32,95.09000000000003,0.81
295,te anau,NZ,2023-03-28 12:04:11,-45.4167,167.7167,49,85,35.780000000000044,1.83
296,the valley,AI,2023-03-28 12:04:12,18.217,-63.0578,22,76,82.36400000000003,5.92
297,ribeira grande,PT,2023-03-28 12:04:12,38.5167,-28.7,20,77,63.266000000000005,11.83
298,alofi,NU,2023-03-28 12:04:12,-19.0595,-169.9187,90,77,80.95999999999998,3.32
299,salalah,OM,2023-03-28 12:04:12,17.0151,54.0924,75,78,82.75999999999999,5.14
300,iqaluit,CA,2023-03-28 12:02:04,63.7506,-68.5145,100,72,14.972000000000037,4.47
301,olafsvik,IS,2023-03-28 12:04:12,64.8945,-23.7142,100,53,32.233999999999995,5.49
302,awbari,LY,2023-03-28 12:04:13,26.5921,12.7805,3,8,84.38000000000005,4.54
303,labuhan,ID,2023-03-28 12:04:13,-6.8844,112.2051,100,85,79.934,0.94
304,angoche,MZ,2023-03-28 12:04:13,-16.2325,39.9086,94,88,76.45999999999998,3.42
305,chiang rai,TH,2023-03-28 12:04:13,19.9167,99.9167,1,38,80.85199999999998,1.45
306,batemans bay,AU,2023-03-28 12:04:13,-35.7167,150.1833,91,94,68.35999999999999,2.23
307,mogadishu,SO,2023-03-28 12:04:14,2.0371,45.3438,4,75,82.65199999999999,7.18
308,ngunguru,NZ,2023-03-28 12:04:14,-35.6167,174.5,30,87,61.069999999999965,5.69
309,basco,PH,2023-03-28 12:04:14,20.4487,121.9702,18,82,76.60399999999996,6.87
310,coihaique,CL,2023-03-28 12:04:14,-45.5752,-72.0662,60,81,43.23200000000001,2.94
311,esmeralda,CU,2023-03-28 12:04:15,21.8525,-78.1169,5,46,87.674,3.13
312,sentyabrskiy,,,,,,,,
313,pula,HR,2023-03-28 12:04:15,44.8683,13.8481,0,24,54.42799999999997,6.69
314,bamora,IN,2023-03-28 12:04:15,24.0552,78.0909,4,20,82.52599999999998,3.09
315,sisimiut,GL,2023-03-28 12:04:15,66.9395,-53.6735,0,66,14.216000000000008,2.35
316,san policarpo,PH,2023-03-28 12:04:16,12.1791,125.5072,99,84,79.95199999999997,4.84
317,tevaitoa,PF,2023-03-28 12:04:16,-16.7833,-151.5,29,69,82.50800000000001,3.89
318,baruun-urt,MN,2023-03-28 12:04:16,46.6806,113.2792,11,46,37.79600000000005,2.6
319,nguiu,,,,,,,,
320,bobingen,DE,2023-03-28 12:04:16,48.2667,10.8333,75,44,48.77599999999999,3.09
321,harper,LR,2023-03-28 12:04:16,4.375,-7.7169,27,71,84.75800000000001,4.56
322,alice springs,AU,2023-03-28 12:03:35,-23.7,133.8833,96,61,76.81999999999996,7.2
323,dhidhdhoo,MV,2023-03-28 12:04:17,6.8833,73.1,39,73,82.68800000000005,3.01
324,yadgir,IN,2023-03-28 12:04:17,16.7667,77.1333,77,16,89.52799999999996,1.47
325,poso,ID,2023-03-28 12:04:17,-1.3959,120.7524,100,90,75.99199999999999,2
326,langsa,ID,2023-03-28 12:04:17,4.4683,97.9683,100,90,76.24399999999997,0.89
327,clyde river,CA,2023-03-28 12:04:18,70.4692,-68.5914,45,94,-8.932000000000016,2.44
328,zhigansk,RU,2023-03-28 12:04:18,66.7697,123.3711,72,99,-8.91399999999998,5.18
329,lolua,,,,,,,,
330,portland,US,2023-03-28 12:00:35,45.5234,-122.6762,100,87,46.742,4.02
331,tsihombe,,,,,,,,
332,hohhot,CN,2023-03-28 12:04:18,40.8106,111.6522,5,17,47.42599999999999,1.1
333,lompoc,US,2023-03-28 12:04:18,34.6391,-120.4579,40,69,51.85399999999996,2.06
334,pathein,MM,2023-03-28 12:04:18,16.7833,94.7333,26,86,74.78599999999997,3.34
335,coos bay,US,2023-03-28 12:00:55,43.3665,-124.2179,100,96,40.49600000000005,4.45
336,chaoyang,CN,2023-03-28 12:04:19,41.5703,120.4586,80,34,46.20199999999998,2.78
337,dombarovskiy,RU,2023-03-28 12:04:19,50.7587,59.5386,100,63,43.17799999999996,4.48
338,gondar,ET,2023-03-28 12:04:19,12.6,37.4667,24,20,71.34800000000003,5.43
339,agadez,NE,2023-03-28 12:03:05,19.75,10.25,0,6,86.95399999999995,2.86
340,husavik,IS,2023-03-28 12:04:19,66.0449,-17.3389,98,76,27.10399999999995,5.32
341,imperia,IT,2023-03-28 12:04:20,43.9667,7.7833,38,43,54.446000000000055,2.59
342,galdar,ES,2023-03-28 12:04:20,28.147,-15.6502,0,57,76.62200000000004,4.79
343,villazon,BO,2023-03-28 12:04:20,-22.0866,-65.5942,12,39,64.43599999999998,0.91
344,najran,SA,2023-03-28 12:04:20,17.4924,44.1277,99,24,78.11600000000001,4.92
345,sorland,NO,2023-03-28 12:04:20,67.667,12.6934,1,54,32.12599999999999,4.59
346,aguimes,ES,2023-03-28 12:04:21,27.9054,-15.4461,0,64,74.93000000000004,11.32
347,grootfontein,NA,2023-03-28 12:04:21,-19.5667,18.1167,80,69,72.24800000000002,1.88
348,necochea,AR,2023-03-28 12:04:21,-38.5473,-58.7368,18,47,81.68000000000004,7.92
349,narsaq,GL,2023-03-28 12:04:22,60.9167,-46.05,2,56,39.685999999999964,2.74
350,pindushi,RU,2023-03-28 12:04:22,62.9152,34.58,100,90,27.211999999999954,4.49
351,yerbogachen,RU,2023-03-28 12:04:22,61.2767,108.0108,94,92,9.914000000000033,3.87
352,berlevag,NO,2023-03-28 12:04:22,70.8578,29.0864,100,80,28.66999999999996,2.57
353,mikhaylovka,RU,2023-03-28 12:04:22,50.06,43.2379,100,47,55.05800000000001,5.64
354,shupiyan,IN,2023-03-28 12:04:23,33.7167,74.8333,100,66,47.69600000000005,1.51
355,havoysund,NO,2023-03-28 12:04:23,70.9963,24.6622,100,72,30.70399999999995,2.14
356,stege,DK,2023-03-28 12:04:23,54.987,12.2846,14,50,43.32200000000004,3.49
357,tumannyy,,,,,,,,
358,kaliua,TZ,2023-03-28 12:04:23,-5.0606,31.7936,99,91,67.87400000000002,1.2
359,oulainen,FI,2023-03-28 12:04:24,64.2667,24.8,100,94,23.07200000000004,4.55
360,burnie,AU,2023-03-28 12:04:24,-41.0667,145.9167,94,95,55.219999999999956,1.84
361,ahipara,NZ,2023-03-28 12:04:24,-35.1667,173.1667,56,84,62.94199999999999,6.71
362,nurota,UZ,2023-03-28 12:04:24,40.5614,65.6886,100,32,70.142,2.48
363,tadine,NC,2023-03-28 12:04:24,-21.55,167.8833,15,84,76.67599999999999,6.14
364,komsomolskiy,UZ,2023-03-28 12:04:25,40.4272,71.7189,100,44,61.79000000000002,2.06
365,asfi,MA,2023-03-28 12:04:25,32.2994,-9.2372,5,58,71.95999999999998,8.58
366,hobyo,SO,2023-03-28 12:04:25,5.3505,48.5268,48,73,84.12799999999996,5.19
367,wilmington,US,2023-03-28 12:00:11,34.2257,-77.9447,64,66,73.13000000000005,4.92
368,batagay,RU,2023-03-28 12:04:25,67.6333,134.6333,87,99,-5.96200000000001,1.81
369,severobaykalsk,RU,2023-03-28 12:04:25,55.65,109.3167,62,76,20.461999999999954,4.89
370,erdemli,TR,2023-03-28 12:04:26,36.605,34.3084,18,81,61.609999999999985,5.78
371,samana,DO,2023-03-28 12:04:26,19.2056,-69.3369,40,62,86.48599999999996,4.12
372,christchurch,NZ,2023-03-28 12:00:11,-43.5333,172.6333,75,89,43.214000000000034,7.72
373,prince rupert,CA,2023-03-28 12:00:06,54.3161,-130.3201,16,62,40.280000000000044,2.88
374,komsomolskoye,RU,2023-03-28 12:04:26,55.2567,47.5461,73,77,44.38399999999999,4.82
375,araouane,ML,2023-03-28 12:04:26,18.9048,-3.5265,52,7,101.35399999999996,6.9
376,whitianga,NZ,2023-03-28 12:04:26,-36.8333,175.7,52,84,56.93000000000004,4.93
377,sakakah,SA,2023-03-28 12:04:26,29.9697,40.2064,0,21,71.85199999999998,3
378,pisco,PE,2023-03-28 12:04:26,-13.7,-76.2167,99,80,77.28800000000004,3.27
379,ahuimanu,US,2023-03-28 12:04:27,21.4447,-157.8378,40,88,73.38200000000002,1.54
380,chifeng,CN,2023-03-28 12:04:27,42.2683,118.9636,9,29,45.82400000000001,2.69
381,pangai,TO,2023-03-28 12:04:27,-19.8,-174.35,100,83,81.64399999999998,7.11
382,neiafu,TO,2023-03-28 12:04:27,-18.65,-173.9833,100,79,80.708,8.1
383,san patricio,US,2023-03-28 12:04:27,28.017,-97.5169,100,68,71.816,9.66
384,tuy hoa,VN,2023-03-28 12:04:27,13.0833,109.3,35,90,75.99199999999999,1.28
385,bontang,ID,2023-03-28 12:04:27,0.1333,117.5,100,86,78.70999999999998,1.89
386,erzin,TR,2023-03-28 12:04:27,36.9559,36.2,9,91,57.16400000000003,3.49
387,tupiza,BO,2023-03-28 12:04:27,-21.45,-65.7167,30,38,71.11400000000003,1.27
388,ushtobe,KZ,2023-03-28 12:04:28,45.2514,77.9838,0,37,52.39399999999998,6.44
389,eirunepe,BR,2023-03-28 12:04:28,-6.6603,-69.8736,92,85,82.058,0.96
390,karlstad,SE,2023-03-28 12:04:28,59.3793,13.5036,13,20,38.227999999999966,3.09
391,piranshahr,IR,2023-03-28 12:04:28,36.701,45.1413,28,81,49.13599999999997,3.38
392,male,MV,2023-03-28 12:04:28,4.1748,73.5089,26,72,83.084,2.51
393,kieta,PG,2023-03-28 12:00:42,-6.2167,155.6333,100,82,79.64600000000004,1.63
394,gemena,CD,2023-03-28 12:04:28,3.25,19.7667,99,84,76.13599999999997,1.05
395,udaipura,IN,2023-03-28 12:03:55,23.0833,78.5,1,20,85.08200000000002,2.62
396,sassandra,CI,2023-03-28 12:04:29,4.95,-6.0833,84,65,85.74800000000002,3.88
397,rabo de peixe,PT,2023-03-28 12:04:29,37.8,-25.5833,40,88,62.38399999999999,11.32
398,port arthur,CN,2023-03-28 12:04:29,38.8,121.2667,8,67,39.685999999999964,4.06
399,arlit,NE,2023-03-28 12:04:30,18.7369,7.3853,0,5,93.326,3.65
400,bengkulu,ID,2023-03-28 12:04:30,-3.8004,102.2655,98,91,77.14399999999998,2.12
401,seoul,KR,2023-03-28 12:02:06,37.5683,126.9778,0,47,40.711999999999954,0.49
402,bara,NG,2023-03-28 12:04:30,10.3744,10.7288,39,6,99.44600000000005,5.67
403,vanimo,PG,2023-03-28 12:04:30,-2.6741,141.3028,98,84,78.31400000000004,0.72
404,hovd,MN,2023-03-28 12:04:30,48.0056,91.6419,12,32,37.832000000000015,0.48
405,kamaishi,JP,2023-03-28 12:04:30,39.2667,141.8833,83,83,42.872000000000035,0.95
406,srednekolymsk,RU,2023-03-28 12:04:30,67.45,153.6833,42,83,1.7419999999999938,3.22
407,hunza,,,,,,,,
408,izhma,RU,2023-03-28 12:04:31,65.0083,53.9113,68,95,10.832000000000015,2.05
409,bolungarvik,,,,,,,,
410,svetlogorsk,BY,2023-03-28 12:04:31,52.6333,29.7333,100,96,31.585999999999967,10.5
411,ostrovnoy,RU,2023-03-28 12:04:31,68.0531,39.5131,38,92,12.901999999999976,4.28
412,shache,CN,2023-03-28 12:04:31,38.4167,77.2406,50,12,61.214000000000034,3.72
413,kpandu,GH,2023-03-28 12:04:31,6.9954,0.2931,32,48,88.86199999999997,1.64
414,meadow lake,US,2023-03-28 12:04:31,34.8014,-106.5436,9,26,41.342,2.51
415,surt,LY,2023-03-28 12:04:31,31.2089,16.5887,0,66,63.446000000000055,7
416,ghanaur,IN,2023-03-28 12:04:32,30.3322,76.6072,58,36,71.31199999999995,0.54
417,cravo norte,CO,2023-03-28 12:04:32,6.3017,-70.2041,70,29,94.64000000000001,4.09
418,comodoro rivadavia,AR,2023-03-28 12:04:32,-45.8667,-67.5,0,15,62.725999999999985,14.4
419,stornoway,GB,2023-03-28 12:04:32,58.2093,-6.3865,75,88,44.83399999999999,4.63
420,staryy nadym,RU,2023-03-28 12:04:32,65.6118,72.6842,100,95,14.467999999999982,3.18
421,broome,US,2023-03-28 12:04:33,42.2506,-75.833,40,55,45.95,5.14
422,leon,MX,2023-03-28 12:02:11,21.1167,-101.6667,1,19,79.08800000000005,1.06
423,mao,ES,2023-03-28 12:00:44,39.8885,4.2658,20,67,59.82799999999996,3.6
424,anamur,TR,2023-03-28 12:04:33,36.0751,32.8369,20,81,60.27799999999996,6.17
425,kontagora,NG,2023-03-28 12:04:33,10.3999,5.4695,18,8,101.71400000000004,1.85
426,dumas,US,2023-03-28 12:04:33,35.8656,-101.9732,0,51,41.88200000000002,2.06
427,grand river south east,,,,,,,,
428,nantucket,US,2023-03-28 12:01:30,41.2835,-70.0995,100,85,43.358000000000004,4.14
429,lufilufi,WS,2023-03-28 12:04:34,-13.8745,-171.5986,74,74,82.25600000000003,1.62
430,witu,KE,2023-03-28 12:04:34,-2.3889,40.4382,61,76,84.63200000000002,4.84
431,severnyy-kospashskiy,RU,2023-03-28 12:04:34,59.0925,57.8008,100,86,29.875999999999987,5.28
432,grumo appula,IT,2023-03-28 12:04:34,41.0135,16.7085,20,37,52.15999999999998,6.69
433,baie-comeau,CA,2023-03-28 12:02:30,49.2168,-68.1489,99,86,34.12400000000001,1.57
434,mercedes,AR,2023-03-28 12:04:34,-34.6515,-59.4307,0,33,85.118,5.75
435,karratha,AU,2023-03-28 12:04:34,-20.7377,116.8463,100,58,84.12799999999996,1.34
436,honningsvag,NO,2023-03-28 12:04:34,70.9821,25.9704,40,64,30.217999999999982,3.6
437,marawi,PH,2023-03-28 12:04:35,7.9986,124.2928,100,98,69.87200000000004,0.8
438,port macquarie,AU,2023-03-28 12:04:35,-31.4333,152.9167,100,91,67.15399999999995,1.29
439,san jose,US,2023-03-28 12:00:17,37.3394,-121.895,75,63,53.27599999999999,9.83
440,pacific grove,US,2023-03-28 12:04:35,36.6177,-121.9166,100,80,50.05399999999995,5.81
441,tupelo,US,2023-03-28 12:00:02,34.2576,-88.7034,100,58,62.690000000000026,4.92
442,gualeguay,AR,2023-03-28 12:04:35,-33.1416,-59.3097,0,45,79.55600000000004,4.16
443,lagoa,PT,2023-03-28 12:04:36,39.05,-27.9833,66,79,60.09800000000003,14.25
444,muroto,JP,2023-03-28 12:04:36,33.2833,134.15,1,62,56.48000000000005,5.46
445,maracas,BR,2023-03-28 12:04:37,-13.4411,-40.4308,23,37,83.84000000000003,2.82
446,half moon bay,US,2023-03-28 12:04:37,37.4636,-122.4286,100,86,53.05999999999998,13.38
447,bezopasnoye,RU,2023-03-28 12:04:37,45.6483,41.936,74,60,59.935999999999964,5.82
448,abrau-dyurso,RU,2023-03-28 12:04:37,44.69,37.59,100,95,49.748000000000026,4.22
449,rincon,US,2023-03-28 12:04:38,32.296,-81.2354,100,88,71.13200000000002,1.54
450,bandarbeyla,SO,2023-03-28 12:02:37,9.4942,50.8122,20,76,82.45399999999995,4.29
451,hurghada,EG,2023-03-28 12:01:50,27.2574,33.8129,0,44,71.07799999999997,2.49
452,roma,US,2023-03-28 12:02:03,43.2128,-75.4557,40,82,42.22400000000001,3.09
453,san jose de sisa,PE,2023-03-28 12:04:38,-6.6167,-76.6915,91,65,83.87599999999999,1.6
454,kenai,US,2023-03-28 12:04:38,60.5544,-151.2583,100,96,32.35999999999998,3.09
455,bandundu,CD,2023-03-28 12:04:38,-3.3167,17.3667,83,63,84.21799999999999,0.7
456,sydney,AU,2023-03-28 11:56:55,-33.8679,151.2073,0,88,68.61199999999997,2.57
457,pailon,BO,2023-03-28 12:04:38,-17.65,-62.75,49,64,87.16999999999996,5.65
458,bekhteyevka,RU,2023-03-28 12:04:38,50.8072,37.2085,100,61,54.05,8.38
459,pryazha,RU,2023-03-28 12:04:39,61.6926,33.6216,100,92,31.49600000000005,4.61
460,balaipungut,ID,2023-03-28 12:04:39,1.05,101.2833,93,95,75.70399999999995,0.26
461,lata,PT,2023-03-28 12:04:39,40.1629,-8.3327,100,27,81.19399999999997,2.55
462,tarudant,,,,,,,,
463,port-cartier,CA,2023-03-28 12:04:39,50.0334,-66.8654,100,98,32.63000000000004,0.93
464,buin,CL,2023-03-28 12:03:42,-33.7333,-70.75,0,29,85.69399999999997,2.57
465,dumbea,NC,2023-03-28 12:04:39,-22.15,166.45,70,99,80.25800000000001,2.1
466,katsuura,JP,2023-03-28 12:04:40,35.1333,140.3,81,79,54.12200000000004,5.49
467,kant,IN,2023-03-28 12:04:40,27.8,79.8,2,27,76.81999999999996,3.34
468,bacuit,,,,,,,,
469,pozo colorado,PY,2023-03-28 12:04:40,-23.4923,-58.7972,10,46,91.85,4.26
470,auki,SB,2023-03-28 12:04:40,-8.7676,160.7034,100,88,77.9,1.41
471,aswan,EG,2023-03-28 12:04:40,24.0934,32.907,0,10,83.084,4.67
472,klaebu,NO,2023-03-28 12:04:40,63.2976,10.4826,1,35,32.50399999999995,2.46
473,umzimvubu,,,,,,,,
474,sugar land,US,2023-03-28 11:59:52,29.6197,-95.6349,40,61,72.5,7.2
475,kropotkin,RU,2023-03-28 12:04:40,45.4375,40.5756,70,63,59.70199999999998,3.61
476,cidreira,BR,2023-03-28 12:04:41,-30.1811,-50.2056,1,61,76.28000000000004,5.89
477,kavant,,,,,,,,
478,natchez,US,2023-03-28 12:04:10,31.5604,-91.4032,0,63,65.51600000000002,5.14
479,hauterive,FR,2023-03-28 12:04:41,46.0901,3.4459,96,40,65.42599999999999,0.83
480,blagoyevo,RU,2023-03-28 12:04:41,63.3667,47.9167,10,93,12.451999999999973,1.2
481,vao,NC,2023-03-28 12:04:41,-22.6667,167.4833,69,78,77.07200000000003,7.22
482,muscat,OM,2023-03-28 12:00:05,23.6139,58.5922,3,73,77.25199999999998,2.2
483,bay roberts,CA,2023-03-28 12:04:41,47.5999,-53.2648,99,89,36.31999999999996,2.24
484,riyadh,SA,2023-03-28 12:02:04,24.6877,46.7219,1,23,77.88200000000002,4.32
485,suarez,CO,2023-03-28 12:04:41,2.954,-76.6964,98,61,81.33800000000005,0.88
486,karaul,,,,,,,,
487,sao joao da barra,BR,2023-03-28 12:04:42,-21.6403,-41.0511,87,71,86.35999999999999,5.53
488,charyshskoye,RU,2023-03-28 12:04:42,51.3978,83.5598,3,89,38.13800000000005,1.47
489,attawapiskat,,,,,,,,
490,mizan teferi,ET,2023-03-28 12:04:42,6.9833,35.5833,89,75,68.14399999999998,1.16
491,whitehorse,CA,2023-03-28 11:52:45,60.7161,-135.0538,100,64,21.074000000000012,2.57
492,yinchuan,CN,2023-03-28 12:03:06,38.4681,106.2731,0,11,55.022000000000034,2.72
493,sept-iles,CA,2023-03-28 12:00:12,50.2001,-66.3821,100,96,32.95399999999995,1.42
494,progreso,MX,2023-03-28 12:04:42,21.2833,-89.6667,25,54,88.17799999999997,4.24
495,kiunga,PG,2023-03-28 12:04:42,-6.1219,141.2906,100,100,73.38200000000002,0.95
496,freeport,US,2023-03-28 12:02:29,40.6576,-73.5832,100,77,48.45199999999998,7.2
497,balclutha,NZ,2023-03-28 12:04:42,-46.2339,169.75,95,78,37.903999999999954,1.48
498,nyurba,RU,2023-03-28 12:04:42,63.2842,118.3319,100,93,9.10399999999995,5.55
499,bairiki,KI,2023-03-28 12:04:43,1.3292,172.9752,20,83,80.86999999999996,2.06
500,skibbereen,IE,2023-03-28 12:04:43,51.55,-9.2667,64,87,53.38399999999999,6.82
501,santa rosa,PH,2023-03-28 12:04:43,14.3122,121.1114,99,83,82.65199999999999,4.4
502,kargasok,RU,2023-03-28 12:04:43,59.0556,80.8572,100,91,41.12599999999999,6.39
503,los llanos de aridane,ES,2023-03-28 12:04:43,28.6585,-17.9182,0,61,73.41799999999998,5.66
504,dolbeau,,,,,,,,
505,zhaotong,CN,2023-03-28 12:04:44,27.3167,103.7167,100,93,38.15600000000003,2.15
506,kaitangata,NZ,2023-03-28 12:04:44,-46.2817,169.8464,98,70,41.80999999999998,1.44
507,saldanha,ZA,2023-03-28 12:04:44,-33.0117,17.9442,17,82,63.859999999999985,7.73
508,aden,YE,2023-03-28 12:04:44,12.7794,45.0367,73,79,82.63399999999999,3.32
509,slavyanka,RU,2023-03-28 12:04:45,42.8633,131.3847,12,78,35.924000000000014,1.83
510,turukhansk,RU,2023-03-28 12:04:46,65.8167,87.9833,100,94,-4.198000000000029,2.71
511,port hawkesbury,CA,2023-03-28 12:02:52,45.6169,-61.3485,100,90,37.45399999999995,6.26
512,takoradi,GH,2023-03-28 12:02:34,4.8845,-1.7554,24,67,85.94600000000005,5.47
513,la ronge,CA,2023-03-28 12:00:55,55.1001,-105.2842,90,90,5.467999999999982,1.67
514,hun,LY,2023-03-28 12:04:46,29.1268,15.9477,3,16,81.82400000000001,5.51
515,byron bay,AU,2023-03-28 11:58:31,-28.65,153.6167,100,82,70.98800000000006,0.77
516,bambanglipuro,ID,2023-03-28 12:04:46,-7.95,110.2833,100,82,79.484,1.14
517,port lincoln,AU,2023-03-28 12:04:46,-34.7333,135.8667,12,81,62.851999999999975,6.68
518,vestmanna,FO,2023-03-28 12:04:46,62.1564,-7.1664,75,70,38.588000000000044,7.72
519,vadso,NO,2023-03-28 12:04:47,70.0744,29.7487,40,68,24.151999999999976,5.14
520,zabol,AF,2023-03-28 12:04:47,32.25,67.25,97,53,56.858000000000004,2.4
521,cockburn town,TC,2023-03-28 12:04:47,21.4612,-71.1419,7,78,77.35999999999999,8.02
522,pangnirtung,CA,2023-03-28 12:04:47,66.1451,-65.7125,99,89,12.43399999999999,1.28
523,sataua,,,,,,,,
524,grindavik,IS,2023-03-28 12:04:47,63.8424,-22.4338,0,51,36.338000000000044,8.23
525,beloha,MG,2023-03-28 12:04:47,-25.1667,45.05,6,63,67.29800000000003,3.58
526,ruston,US,2023-03-28 12:04:47,32.5232,-92.6379,0,67,66.84800000000003,4.12
527,korla,CN,2023-03-28 12:04:48,41.7597,86.1469,4,21,57.685999999999964,1.88
528,nisia floresta,BR,2023-03-28 12:04:48,-6.0911,-35.2086,100,57,87.08000000000004,5.12
529,el terrero,HN,2023-03-28 12:04:48,14.0667,-87.0667,20,47,76.316,3.09
530,haines junction,CA,2023-03-28 12:04:48,60.7522,-137.5108,100,83,13.496000000000048,1.05
531,nioro,GM,2023-03-28 12:04:48,13.35,-15.75,3,5,104.52200000000003,2.94
532,serik,TR,2023-03-28 12:04:48,36.9169,31.0989,27,76,65.01199999999996,3.64
533,guerrero negro,MX,2023-03-28 12:04:48,27.9769,-114.0611,2,36,65.20999999999998,4.05
534,yambio,SS,2023-03-28 12:04:48,4.5721,28.3955,85,69,76.92799999999997,1.65
535,horta,PT,2023-03-28 12:04:49,38.5333,-28.6333,20,83,62.50999999999998,11.83
536,hilton head island,US,2023-03-28 12:04:42,32.2163,-80.7526,100,86,71.27599999999998,1.54
537,hofn,IS,2023-03-28 12:04:49,64.2539,-15.2082,100,80,32.108000000000004,9.67
538,laguna,US,2023-03-28 12:04:49,38.421,-121.4238,100,73,57.23599999999997,5.66
539,apricena,IT,2023-03-28 12:04:49,41.7839,15.4437,1,51,50.26999999999996,4.69
540,hami,CN,2023-03-28 12:04:49,42.8,93.45,0,17,58.31600000000001,4.64
541,sheridan,US,2023-03-28 12:04:49,44.8333,-106.9173,0,65,27.57200000000004,2.06
542,ucluelet,CA,2023-03-28 12:00:57,48.9329,-125.5528,100,59,45.391999999999996,5.4
543,khash,IR,2023-03-28 12:04:50,28.2211,61.2158,95,67,57.469999999999956,2.57
544,yarada,IN,2023-03-28 12:04:50,17.65,83.2667,76,79,82.184,5.69
545,camacha,PT,2023-03-28 12:03:17,33.0833,-16.3333,0,46,71.29399999999998,2.06
546,chokwe,MZ,2023-03-28 12:04:50,-24.5333,32.9833,0,65,71.94200000000001,2.73
547,ambanja,MG,2023-03-28 12:04:50,-13.6833,48.45,98,91,77.12599999999999,1.23
548,amposta,ES,2023-03-28 12:04:50,40.7131,0.581,0,57,68.50399999999996,4.91
549,iberia,US,2023-03-28 12:04:50,29.9502,-91.7507,100,88,73.63399999999999,4.12
550,malmyzh,RU,2023-03-28 12:04:51,56.5205,50.6818,97,79,34.84399999999997,4.57
551,manokwari,ID,2023-03-28 12:01:22,-0.8667,134.0833,93,81,77.63000000000005,1.65
552,fethiye,TR,2023-03-28 12:04:51,36.6217,29.1164,28,75,62.74399999999997,3.34
553,phan rang,,,,,,,,
554,mandiana,GN,2023-03-28 12:04:51,10.6333,-8.6833,100,28,96.36799999999998,0.74
555,qui nhon,VN,2023-03-28 12:04:51,13.7667,109.2333,51,86,78.09800000000003,1.67
556,along,IN,2023-03-28 12:04:51,28.1667,94.7667,97,90,59.99000000000002,1.33
557,brenes,ES,2023-03-28 12:04:52,37.5494,-5.8714,0,21,86.32400000000001,2.06
558,iranshahr,IR,2023-03-28 12:04:52,27.2025,60.6848,93,56,71.708,1.76
559,borba,BR,2023-03-28 12:03:23,-4.3878,-59.5939,99,72,85.92799999999997,0.7
560,paamiut,GL,2023-03-28 12:04:52,61.994,-49.6678,10,58,23.9,2.97
561,natal,BR,2023-03-28 12:04:52,-5.795,-35.2094,40,66,86.91799999999998,5.66
562,shahrud,IR,2023-03-28 12:04:52,36.4182,54.9763,71,64,54.68000000000004,1.75
563,iquique,CL,2023-03-28 12:04:52,-20.2208,-70.1431,5,70,77.30600000000004,3.26
564,san luis potosi,MX,2023-03-28 12:00:51,22.5,-100.5,65,59,72.19399999999997,3.81
565,nago,JP,2023-03-28 12:04:53,26.5881,127.9761,74,73,61.50199999999998,4.43
566,mayumba,GA,2023-03-28 12:04:53,-3.432,10.6554,100,85,78.90800000000002,2.28
567,inhambane,MZ,2023-03-28 12:00:07,-23.865,35.3833,61,71,68.75600000000003,1.95
568,kollumerland,,,,,,,,
569,kutum,SD,2023-03-28 12:04:53,14.2,24.6667,45,14,84.46999999999997,4.8
570,yar-sale,RU,2023-03-28 12:04:53,66.8333,70.8333,87,100,-6.717999999999982,3.8
571,charters towers,AU,2023-03-28 12:04:53,-20.1,146.2667,69,90,70.21400000000003,3.1
572,hasaki,JP,2023-03-28 12:04:53,35.7333,140.8333,92,73,49.477999999999966,6.05
573,tsiroanomandidy,MG,2023-03-28 12:04:54,-18.7667,46.0333,100,94,71.07799999999997,1.58
574,louisbourg,,,,,,,,
575,coquimbo,CL,2023-03-28 12:04:54,-29.9533,-71.3436,100,82,64.4,2.57
576,yabucoa,PR,2023-03-28 12:04:54,18.0505,-65.8793,6,75,86.50399999999996,6.35
577,mezen,RU,2023-03-28 12:04:54,65.8522,44.24,7,97,9.914000000000033,1.53
578,batticaloa,LK,2023-03-28 12:04:54,7.7102,81.6924,18,74,79.73599999999996,3.91
579,dunedin,NZ,2023-03-28 12:02:02,-45.8742,170.5036,98,81,45.067999999999984,3.35
580,kharp,RU,2023-03-28 12:04:55,66.8014,65.8081,8,94,-3.082000000000015,3.38
581,kununurra,AU,2023-03-28 12:02:00,-15.7667,128.7333,100,88,75.45199999999997,0
582,uige,AO,2023-03-28 12:04:55,-7.6087,15.0613,78,95,71.47400000000002,2.07
583,birjand,IR,2023-03-28 12:04:55,32.8663,59.2211,100,71,54.33800000000005,3.09
584,carlyle,US,2023-03-28 12:04:55,38.6103,-89.3726,100,53,50.82799999999996,1.79
585,marzuq,YE,2023-03-28 12:04:55,14.4,46.4667,83,59,78.18800000000005,4.11
586,kingsville,US,2023-03-28 12:00:18,27.5159,-97.8561,100,68,72.05000000000001,9.26
587,gorno-chuyskiy,,,,,,,,
588,santa marta,CO,2023-03-28 12:03:27,11.2408,-74.199,83,53,89.16799999999998,4.92
589,jemnice,CZ,2023-03-28 12:04:55,49.019,15.5699,87,48,40.98200000000001,7.78
590,mulchen,CL,2023-03-28 12:04:56,-37.7167,-72.2333,100,69,55.52599999999999,0.57
